address,amount0,amount1,amount2,amount3,amount4,amount5
0x009e560fc38ebe09e12f4199305424ae4b38a0d1,0,0,5613909,16841728,0,0
0x914c10b6f45525fb476c77838f7b692a2be212ca,0,0,5460688,16382064,0,0
0x229c5318108710cbf5ad2069019d3ffda2f2d67e,0,0,5451760,16355281,0,0
0x29953b98f9721962841843eebd21d94aed58fc54,0,0,5429852,16289557,0,0
0xa8621c43cd451d41895e65027dbc5681215efdeb,0,0,5341032,16023096,0,0
0x59d58c0153870ce2b4f495c18e322bce231a8313,0,0,5301802,15905406,0,0
0xa5c75352d5da5a69c765ba9e95d0d7965578a1f7,0,0,5301802,15905406,0,0
0xfdefc46942f6171fe7b0f62d219a3eed0445fc3b,0,0,5274122,15822368,0,0
0x56df1fcd29c0fddbd80e34917e975e2249679188,0,0,5176668,15530005,0,0
0x006974ae1920511f1177f4eff5a97f0ab4320bd6,0,0,5173751,15521255,0,0
0xd939d923f4d422a21c4cd4bd37c515266f82a23a,0,0,5172644,15517932,0,0
0x6f26f2f73b5883cd280ed43912c470b67322ebf8,0,0,5172458,15517375,0,0
0x45b344c5ea7d7ef977d2c10cd751e9e7f323ac06,0,0,5172458,15517375,0,0
0x9c80a84e5a91bd00afd27a1d8365bbf0d6e9a095,0,0,5172458,15517375,0,0
0xb7f3aac00c2f05a9884f5e31f27468f769e80f53,0,0,5172458,15517375,0,0
0xef93dd617f5a0d01a5310944efc6da664a1b7e95,0,0,5172458,15517375,0,0
0xb6c0208ba173e95576817023b902bc322f202cab,0,0,5169095,15507286,0,0
0x98b301b6e9dd8a76f3e829610b02184c8c3f8a4b,0,0,5131301,15393903,0,0
0x04709a65b1011c7bde5c4dc828c49609a3e839c8,0,0,5042027,15126081,0,0
0x69b9316d4b8934e52be9ccb9f184a78403bf7ca1,0,0,4915164,14745494,0,0
0x02702f6594364369987f4b94cb4bbc3c98159e17,0,0,4670051,14010153,0,0
0x258c239759340a87913f612a1b377f5efcd53335,0,0,4655083,13965249,0,0
0x788ae50e7f681a8780282b2c3d19cacc60bd9268,0,0,4481943,13445830,0,0
0x14cc15060daf0e72e769d2ea0f6af1545b734ee0,0,0,4479147,13437443,0,0
0xf9d5b2c17cd25f9297676a3c15a2ca7793e8f1b7,0,0,4419712,13259137,0,0
0x34dcf11642610fe08248b39af00bc11518f10200,0,0,4398188,13194564,0,0
0x4483d6d0955a51590127257a3fe06b3423259f62,0,0,4396395,13189187,0,0
0xef2a72524c0300580ba45a03af04601a69c3bd6e,0,0,4396395,13189187,0,0
0xdb81454e85e34f55e5151f4295d7e2fdaa6d8929,0,0,4396330,13188991,0,0
0xaf23fa252c62bb4300328813986adaa7f1f67a29,0,0,4357243,13071729,0,0
0x80f7531c7e5758fae94cfb1565e5626032f33324,0,0,4248645,12745937,0,0
0x07f11139082b3244f37f054eff645921c3ff162e,0,0,4177469,12532408,0,0
0x88b1240ffde53f9877b66721756a1cae2c9e9ace,0,0,4148055,12444166,0,0
0x1df88624fd562021af17f539da431bdf41a054bb,0,0,4137708,12413124,0,0
0x35470a1c4d39f0eeb929e4385d128319bae1593c,0,0,4135121,12405363,0,0
0x1f03184068444b600a48a8a053faaa1a3f68d161,0,0,3948532,11845598,0,0
0x67220c0909df21a99953a566404aeae6986fc585,0,0,3937620,11812861,0,0
0x249f40183ca0c7160fb417cb513d60ad0169cfd5,0,0,3886522,11659567,0,0
0x20677c47e93e5a3232bdc967a9dc9b83c38cc04b,0,0,3881564,11644694,0,0
0x98a8e3690dfbb1ef5c245c307a258bdbb9179f79,0,0,3881047,11643141,0,0
0x5c31f1ef6636ff7ef871f9f93a675458ebea509b,0,0,3879981,11639943,0,0
0xb1bb5873a7f65f014ee7ab2c5b59324b055ea51d,0,0,3879020,11637061,0,0
0x04a4fee56f8dcfbdbcfb04bd6afd15f686928b04,0,0,3878963,11636889,0,0
0x779469ca2cf6c72344424be94ee12b019d6cfdf9,0,0,3874912,11624737,0,0
0x1aade4cec82a55f1d53d950139c7d8e1aa3193a1,0,0,3860912,11582737,0,0
0x7bfed321f9b9829c7671406fe1f49b80afe409b9,0,0,3817452,11452358,0,0
0x609cfd116163207b871bb71b4c36d1427127a883,0,0,3783153,11349460,0,0
0x82c8ab9292fd49102c683b1ba975f1481b8355cc,0,0,3661412,10984237,0,0
0x34aada87fd25de9f1132f4c3f0bddfa3b112373b,0,0,3621690,10865072,0,0
0xaa6c7d56e4a11bd445e2563a70aee7243967beed,0,0,3620332,10860998,0,0
0xee0b527ec3d3365ea3a1726053261110d30c1fca,0,0,3619039,10857118,0,0
0xa56bbff0aeca48c5dabc01751579787d25a85937,0,0,3511854,10535564,0,0
0xaa6cd13bb29eadbebcd41aa017043eb29fb0d206,0,0,3471484,10414452,0,0
0xd80606f42e7893b0bdae8b16f6c2eaa29b71bb65,0,0,3462168,10386505,0,0
0xa77023966c0aee5e99120d8a1ea76ce39dc7f7bb,0,0,3454514,10363542,0,0
0xf0b40058a2b3a8348a36df5e5e0eca7dd9a4cba7,0,0,3362750,10088251,0,0
0x80b9b8a082c28e680800e0697142462e3d88b2b2,0,0,3361645,10084935,0,0
0x8936f5bb3ca150c2267e7e11ac1fc09c188fd049,0,0,3361645,10084935,0,0
0xe7fcc75f3548b2b01ab4ad4028e3a4f1520d36be,0,0,3342873,10028621,0,0
0x613b82b2abbd46e811aa3f66902ce8717958b13d,0,0,3322524,9967574,0,0
0x5c3449a8337b34d4613143ec00c206921fdf46a9,0,0,3264896,9794688,0,0
0x013c200df38fba160c50b7533546ec3605d4f121,0,0,3235405,9706217,0,0
0x49d08d7504c83c687def5342489f72f3684ac37f,0,0,3162701,9488103,0,0
0x5d507bde21efec7ad94ce244d108f46f61be5348,0,0,3104251,9312753,0,0
0x3e67ea998bfaee99c61183f33c3bb6c9857e6a9c,0,0,3104205,9312615,0,0
0x4f412a7a709634e5d5bc47406fd4668a76d4cc52,0,0,3102957,9308873,0,0
0x8e890bfe9672c427c1328ece5c833ba98c659540,0,0,3101618,9304855,0,0
0xa41e84ba403bbd485f38896a3abcc10fd2840cba,0,0,3051220,9153660,0,0
0x18b2cb901dd9c37aca7fa4c08f4cae6f54e9a57a,0,0,2988655,8965967,0,0
0x2dcd55c734609f39dd17e29b33586fe6107068cb,0,0,2874409,8623229,0,0
0x488361ca477ed2d89c48bac0d9d84bc7826e963a,0,0,2856854,8570564,0,0
0x7e10d3435230eee5daa653a1878556110158782f,0,0,2851694,8555083,0,0
0x8584f6a0a98147fcf4421fd8ae1bd2c4e53c6634,0,0,2845563,8536690,0,0
0x17a567c1b7d3dba5a40ee15c66bb44f478c1497c,0,0,2845563,8536690,0,0
0x1ddcfc677b8ac5b08ebed84ef5a009a15b30b96e,0,0,2844270,8532810,0,0
0x39bb82499ec759cc62df961c6435ea86916153d7,0,0,2844228,8532684,0,0
0x16c4cf43a0bbb2feb8a4e1ada2f1b399702af2c6,0,0,2836509,8509528,0,0
0x1589452cb6e205d2f2b46065bef07b3c407464eb,0,0,2822912,8468737,0,0
0xafaeebf47398a8ef73b9275ef1f83992f25176a4,0,0,2818401,8455204,0,0
0xdf28b626b23ff49f7bba3ac69bf800faf66bb8eb,0,0,2793826,8381478,0,0
0xc9c21a9f54ef2851a8dedb48b23e0f010ce1a82a,0,0,2789716,8369148,0,0
0xe09f3b486c6d45cf7017d5d45dfb3ab35f8a51b8,0,0,2787547,8362643,0,0
0x88e19b7a1e73427732cd5fdbeefd3e1c2e11837b,0,0,2768733,8306199,0,0
0xbb652a2c60b2f33f02ddf8958e9e2d7cc3c26f4e,0,0,2739796,8219388,0,0
0x12f0c2db0e131dd7676b496ab60e63327425afdd,0,0,2716510,8149530,0,0
0xc858c0edd0db73ac849b4d48b9443c57f376033e,0,0,2712939,8138817,0,0
0x7fc029096088e9e052178f3cde034a7487745f5e,0,0,2661559,7984677,0,0
0x2596fb130bc083b29958098617898addd66d1913,0,0,2611451,7834353,0,0
0xf17692a2bd530ab6619536fd9b5478907c9a3ccf,0,0,2602526,7807579,0,0
0x38b57c1662efd7085955dda50ac69ae05cf33443,0,0,2602522,7807566,0,0
