address,amount0,amount1,amount2,amount3,amount4,amount5
terra102fcfwnddem9g7ed43uxld3wjvv4mr7dyxaws7,0,0,1847034,5541103,0,0
terra102ftk86qxshz9hq0tqvj3exvu3ylc9df6mx5u9,0,0,34512439,103537318,0,0
terra102g8ksj2m86eg3jt9sdq0khw9wkdpvdr44c9jm,0,0,11223879,33671637,0,0
terra102hvytmcdsyxy8j0z7vlpqlefd605rhpzu9tv8,0,0,481216,1443648,0,0
terra102hx056kcfdxp5rtwwk7u2ku0lkvrdyvv3msyh,0,0,12406452,37219356,0,0
terra102jl8earzs5aaht7kvlkstel30cvvlt8lnd2w5,0,0,67861310,203583932,0,0
terra102kqxelcfhett9wg5g02esv0yda38p3h8v2mte,0,0,0,14334478,4778159,19112637
terra102lrp7rche9yd5pj7z3m3gttxy2r9n3sr5l4vp,0,0,645859,1937577,0,0
terra102mflf8q2df8498yqknars9tchllpku4kdqwrn,0,0,2508689,7526067,0,0
terra102my4425zh6mwk9r7krhe8n25m05l52zjjc554,0,0,4480580,13441740,0,0
terra102nrrw9zy4wycwv3898kn4rprwa7fjkjljpftc,0,0,415887,1247662,0,0
terra102pwdz6wmcptd4xc96gauvfxdehqq062zkqqfv,0,0,140877624,422632872,0,0
terra102qc726l6kvpk3pyydrzp4ahmfdrl6635fxe54,0,0,508417,1525252,0,0
terra102r23y5uu0jau77qjc5r4vz360uw9tv7l7gm23,0,0,364625,1093877,0,0
terra102r33c37wcej77p6zzvq8ke048usn45ajmzkrl,0,0,15994567,47983701,0,0
terra102sawl5738rz5cv2hzdrztxzq2wx2l2qc7d702,0,0,1461189,4383569,0,0
terra102sca9qq0fuu3e4hjz8hfc8c4q7nfrfh5qkrd3,0,0,2414357,7243071,0,0
terra102sdp8kxcekekfcsjrgkr3fg6353w675cwqncc,0,0,46898967,140696903,0,0
terra102sdzrudpzq7zc225r33rumfrsujndlam0e325,0,0,2503986,7511960,0,0
terra102vqktp9p0dm4g0pq2e3lgxr46tqcs9nj6wzwp,0,0,103907047,311721142,0,0
terra102ynau3wfcm9lp6r7p0t43xrqlk02du5te3264,0,0,157786615,473359845,0,0
terra1030mwx64zy2fmdjs7g9vv0s05g9nuaxsdurah5,0,0,869822,2609467,0,0
terra1033q8552c08r3mz55dce5rvl3c3la9fw8wvkz7,0,0,215901293,647703880,0,0
terra10343dlsf3hzy7jzfe7etha9tltr53cly6vrskl,0,0,7686816,23060450,0,0
terra1034qes2wrhsgxufcstcnw5k4dl4dz866e937ha,0,0,5828378,17485136,0,0
terra1035tnh2nn9ay9afjw7eglug3lw2flsajxaaefr,0,0,282936,848808,0,0
terra10364lmjyzsk3jh26u9mxsu3nyvajx5aka27qtg,0,0,724274,2172824,0,0
terra1037ugfvxhsfzc9ffal95265asuj25kmypvl0kd,0,0,3721037,11163113,0,0
terra1038npxvva0mxv57kmjmerlfqy8mu6xlytzsu7a,0,0,818688,2456064,0,0
terra103985t7haeeppgeas5lh8ys0zg7dguuqhrxwch,0,0,12829276,38487828,0,0
terra1039rmnnjk5m44xm42q3wxl2d6ags5y3e5cd4tg,0,0,3894045,11682136,0,0
terra103anu6zfwrwls637y33ksq2zuf7k6qd2hvgcq5,0,0,704942,2114828,0,0
terra103aq4qp99y4vea6e73ll23ykuten4ksgz34k5n,0,0,2053491,6160474,0,0
terra103aranqlxxtpd8we7jcmw8gg4ddg3qj6mv858y,0,0,341841,1025523,0,0
terra103as89k4dx2z6a5u588laxrlhmy4mu20jsev3c,0,0,635743,1907231,0,0
terra103avk27ekcztj8v6pny4vuyclwt2w6fe8mxlhs,0,0,330169,990509,0,0
terra103cnuy27dq8wuh8etd5pn735du34dxpsqjc7gt,0,0,53143345,159430036,0,0
terra103csqugdalpd7delnexllaa98vmmphyl6x3epf,0,0,799758,2399276,0,0
terra103ekx49mtqmzcvlqgt7gltaem0azwcvhzp3f5p,0,0,5406921,16220764,0,0
terra103eme2f33e7mwc7skyuzxascs66atxkdt4t34x,0,0,5881211,17643633,0,0
terra103ftmy75ty3wv5jnvh6jr962gv60u3tgsxc4pj,0,0,361121,1083363,0,0
terra103gn7qfdh69s2h9zr6806n7mr6nw23vx4kzftn,0,0,9967886,29903658,0,0
terra103gshttspgt94t87fegxd6jqxnnn6d50ul9g6n,0,0,13330671,39992013,0,0
terra103mgjcuaauc374um2kumdwje26vsgsnp96ejuj,0,0,4118010,12354030,0,0
terra103mqyncrpq36lqd5k8p7wcst74ggf9arzsvqpx,0,0,59484705,178454117,0,0
terra103mtn2unp5wyteyw2uqequlpd89mrraga227nr,0,0,19152346,57457040,0,0
terra103nkzcasajtd005fqwzr2z9f8hzcsyp3dz60aa,0,0,7150154,21450463,0,0
terra103pp5efjaeq2rlk7pyywgglxx36uwgd72mek8k,0,0,400247,1200742,0,0
terra103pslde2vyje4rs2lva7l4k2hzvjeqmuyuyyqn,0,0,673019,2019057,0,0
terra103pxp553nmnjd39le08p7zqjrreyaluz8957c5,0,0,683990,2051972,0,0
terra103q39xa9m6g39l0dftv6xzllfeu2hm78s7d8yu,0,0,382533,1147600,0,0
terra103qss8c0vel5qw9zynmjvrr6d62j44w492ez74,0,0,110095708,330287124,0,0
terra103rakc90xgcuxaee6alqhkmnp7qh92hwt0hxur,0,0,9704727,29114183,0,0
terra103rzzmkmwmttfjfwvndkyz2nfu5ghp663lmnke,0,0,13339657,40018971,0,0
terra103t2wn2tx9vy8n8mtqeay9p2jpcddkwv860a9l,0,0,2278489,6835468,0,0
terra103ufjqekl4cm6welk4wxl5ulfaf4pyrvu5fhe5,0,0,779152,2337456,0,0
terra103uvpha0m2wuckt0lvz2087c4gc0q0vnufangg,0,0,708484,2125454,0,0
terra103vrkgwmgvh7x560yg7yx3fvyajtefl8ywu8aq,0,0,7678751,23036255,0,0
terra103vut6832lm7frwyuf8g0he20mv5v5r39t2glc,0,0,18759111,56277334,0,0
terra103w0xtnvm8zeyqztlyk3kmp6unap7hqxqzr7k9,0,0,127127581,381382745,0,0
terra103y80z7lu2c04wvzchx2x4fnuee7g8jujgzrd3,0,0,13122035,39366105,0,0
terra1040hnvlnwzukkxhulns2f0n25zapkqeytwjemt,0,0,8775157,26325472,0,0
terra1040qra9t5dqqrv435nd7wj7yu4qyq5cmd2fsa5,0,0,187511209,562533629,0,0
terra1040z0pst0slqswv2dpucqceqypyykkg3hlgkww,0,0,2118360,6355081,0,0
terra1042jmj35424c9vrl72sc69un478v2jy25e6v0w,0,0,2913140,8739421,0,0
terra1043j8wtfr4lkqczcpp0l0yqzlzkjc9pu8cpjye,0,0,50044826,150134480,0,0
terra1043r2jthluz98lm6fkppajnr0t272gc94ksrls,0,0,33370211,100110635,0,0
terra1043ykff0mtf6775vpg8hg6k78kxpq4cllrhu84,0,0,2856666,8569999,0,0
terra1044a3kwr9kx667758y603hzyq6ne7kt4dvzlk8,0,0,0,350286088,116762029,467048117
terra104568sfgk3t25gra8m2fkknn0mjd0wvxhg68ux,0,0,588513,1765540,0,0
terra104803ywm5nypy672vvamctzlh7rfmd560q06gr,0,0,1081894,3245682,0,0
terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw,0,0,164773740,494321222,0,0
terra1048zzrmzwtunz59dznacpyxtzqqyhnlur733p9,0,0,578289,1734867,0,0
terra104cp6refdwgpp8uydg0uf93vrcq5xed3q7xw49,0,0,2223546,6670639,0,0
terra104d00jgefw5g27ylk3e083sr8j9zjynn366d43,0,0,109902348,329707045,0,0
terra104d8vhjcyay7c80haraewfwtjys5kfmk4m25xw,0,0,5955522,17866568,0,0
terra104d93hlc9yct0yxrsj7mh7rjtx2e9aes3dk9xu,0,0,81305827,243917481,0,0
terra104dfkpw3wsjp5at3ttt8gf0apyd5pnv5l5w6l4,0,0,970972,2912918,0,0
terra104dlfz268spjeffpepxe2gh2h46mr6sa30yq3g,0,0,817774,2453324,0,0
terra104fr6mgwqagd45k2qezlql0v76qsja5vemxu4u,0,0,2269174,6807522,0,0
terra104h0che8ulk0wggmnmsheev8k764nxsv547yc7,0,0,4132747,12398243,0,0
terra104hdrwjzpzhjwhtxuuk4fxslezh3624j48cvuz,0,0,7765385,23296156,0,0
terra104hrcpdcpj2ve6vluxw2zuudd0mcw7a7jmz0wd,0,0,3907692,11723077,0,0
terra104kx4pe3cxamz6ley5xxprd534p70y4yedc0hz,0,0,724690,2174070,0,0
terra104le3c03mata6qhhed9e9s4nn2xy4pd78thdy6,0,0,1420252,4260757,0,0
terra104m0h2shkxwa7e42s4eccysw82zf57a25k68h0,0,0,454689,1364067,0,0
terra104mllsltujn09mtxscucsaem3f2xmpfhjmvd4a,0,0,722918,2168756,0,0
terra104peglpmdcwmpgc0d5fym03tjw3g67lr6xruej,0,0,9711038,29133116,0,0
terra104q5lcnkzgfvu2z5fns7jv45t0et05dz7nygka,0,0,340157,1020473,0,0
terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv,0,0,3959178,11877535,0,0
terra104qrqgvedudnskn7h2fmz78cx2j6u3zew7jzdg,0,0,73810110,221430331,0,0
terra104qt6377pmud0ad2tsqamtnpt9kr9wv4auqh6u,0,0,10095732,30287196,0,0
terra104r8dz82ujuwvkn4x2dhwf32uuhhswpexhe3f4,0,0,3623105,10869315,0,0
terra104t884zkl453es6y4ctzr9axw8q6x9jp5ktjld,0,0,2636989,7910967,0,0
terra104takhn8rjw96h8jewl53mjh5jhlu5l2kl0u0y,0,0,1376094,4128284,0,0
terra104tjju5xav7jseclqp3tcy2kvxvefd9xrnvpl4,0,0,6612161,19836483,0,0
terra104ttrd5835pph00sgq94lsprtksfsepuxwlvjv,0,0,536755,1610266,0,0
terra104tv7aq40r6mljppxdzxwd7jdyfmjwvcts8s54,0,0,1209657,3628971,0,0
terra104twfn3zcsk2fqe5ktkqkfly0asu8k7r6z9lzq,0,0,11761949,35285848,0,0
terra104u8s2d3se2v42ahjuhhkczt23qyvgkat3j26e,0,0,1179379,3538138,0,0
terra104ufrlfgj5akzf7l50gj3f3mxwv9dfu3x8csw0,0,0,23754822,71264468,0,0
terra104v8zhxl5vtva02m26r4l368wgfj0mgpf7emdw,0,0,288396,865190,0,0
terra104w25rp5hl44mty03tneu6h9shshv89525z585,0,0,3488467,10465403,0,0
terra104x6d5hlasreatkhue3sy2qhw5kwf33d3z7r4e,0,0,0,684269769,228089923,912359692
terra104xhx0eplzxdgsyhqrrgz4te38cdrg3thhmyc7,0,0,1061537,3184611,0,0
terra104y0eegkvkj2snl749ntvfhtlm4cyu6nra990w,0,0,713039,2139117,0,0
terra104y8ynn56qknxp0fxxxwk7t5q66dpdarjfag93,0,0,1645035,4935106,0,0
terra104yz7fehrpyenwmhg2500w3d0f2nw8t9ml2lfk,0,0,5278425,15835277,0,0
terra104z9udam9vaet3zaprpnny9h92kls07c7ly8kt,0,0,9,677927,225966,903865
terra10507h25ddnyphva54ytrvmqarua6zn0lcfw7x9,0,0,756814,2270444,0,0
terra1050a27xc29hjrms72qlaeh5m4p9efw98pk5mju,0,0,0,3167369,1055789,4223159
terra1052au6cmuq0raedls4nac43vwac8w42wrhasp5,0,0,872714,2618142,0,0
terra1052d4srgckxujssthqp4jmj5huhw0kh656n0me,0,0,5241419,15724258,0,0
terra1052qasaud9grjydlu9dm8dglm75dueq5egnnn5,0,0,52230176,156690530,0,0
terra105366vajqnfpx0e9a8573ehus9daw7yr7kn5qq,0,0,2364288,7092866,0,0
terra1053jzcrfzdytxmz2md4adkzjy0y5lqzcynv0zt,0,0,4009447,12028343,0,0
terra10555wyek8mwtycmp6pcktle46ffyuzd6nh5hn9,0,0,433474,1300423,0,0
terra1056duuzwxq39k8tl2tgzykqgnavwctpsjsm4yu,0,0,617153,1851460,0,0
terra105723g664j6lmnhtlcatuggq79wv7rajmzpdaw,0,0,3531079,10593237,0,0
terra1057rvmt9tm9lnuqx4pu7e0valuu6f0qqwj4fz2,0,0,47691389,143074167,0,0
terra1058e9srhn0sqhkkt7smumsy8hlgrsyg2cvgqha,0,0,2829362,8488088,0,0
terra1058hqeqp2ngx9252a6eards4pvk45u3kn02jhp,0,0,289476,868429,0,0
terra10597zc2xlh322mmcw9ekmwett2jzwv07qnyuje,0,0,1156954,3470864,0,0
terra1059tc049f4ts3src3kyh9n2yvps5xh0p86rtch,0,0,1341466,4024399,0,0
terra105a0pqhvk0r5a6jl6pacjy57sxnf6awgef8gwv,0,0,379105,1137317,0,0
terra105a46rnwuyttkth7caph4ddmpnw0tsytyz3gpd,0,0,441384,1324154,0,0
terra105a6nuvm93x3ja3kcy2dfzef92flwm492hlra4,0,0,15316556,45949670,0,0
terra105aj2gvfuj5ntzd0ehwf5uk7nw24lfnfu6mh7n,0,0,1314809,3944428,0,0
terra105eekctnswvseh3lsmtsu0aay8xsjunzal083n,0,0,3512423,10537270,0,0
terra105ej2xt0n2448yksn6whgej96k3f57lwdrc7vk,0,0,1441705,4325117,0,0
terra105evv8x9fejr25vkjql4rzlqkyerlpv39lnqrj,0,0,2642448,7927346,0,0
terra105fg0kez29rgefk7d7ecesq74fqjfeukwgjjey,0,0,2628125,7884377,0,0
terra105fh9rrhn5u92wm2jvtg7y4mlupwhu9mx0de5t,0,0,18275724,54827173,0,0
terra105geew25nzye52ksug20lde8q5sg72w36zxfnd,0,0,3083704,9251113,0,0
terra105hgsae4xdlj73h2v8xcq6wja8ty2yqepv3dau,0,0,3935328,11805984,0,0
terra105jcx3sj783x3pn82nzg2xfszweu8vxcruutjf,0,0,11825602,35476806,0,0
terra105lw9q5c82d3zd08v9uqeda9r9ptpzpp8mrnlg,0,0,3387486,10162459,0,0
terra105m2n943279j8sh8020wvvsgwgmru7qemm87sh,0,0,490928,1472785,0,0
terra105pnpsfh5p5pmvz5y6232lg5xpnytfczplczqj,0,0,15484753,46454261,0,0
terra105pyed6meh6y6yldgxr70ejq37hkhrxsukpxg3,0,0,4464028,13392085,0,0
terra105s5ft0kw0px53sqnr5ky8pm0y0nme9a7wl0jk,0,0,4151894,12455683,0,0
terra105scql9yzvc60zgymhzraj2tlt8504gh4jpx78,0,0,706440,2119320,0,0
terra105sjw5rl74m8hzeth0k4nfdgjl056eygwhqude,0,0,5110657,15331972,0,0
terra105tk5cvl0q0fd4hxp6s9g8srxgyj86e20e3m6d,0,0,529279,1587838,0,0
terra105tp4yld90fgypuy5x5wjkv9d8jv3lwjz0wsne,0,0,569822,1709466,0,0
terra105u5h25u9755l80f9hmq4fh3svd2uv9fqr9ede,0,0,3716060,11148182,0,0
terra105uk5z79fgu9l9tc7u3tws3awum0vd6hkzrtv8,0,0,257887,773663,0,0
terra105xgdqcpe3uhgk9hjhj2rk5ex8umua6kfry580,0,0,3374919,10124757,0,0
terra105xmyrku6qpkajhuy8g3f5ltnmkdte4lsca5zv,0,0,5765215,17295645,0,0
terra105yafg54nuy5w4dgf7jzfgnzp5r9hsftqevmaw,0,0,13229902,39689706,0,0
terra1060f58al85zwzv2zpuax4l29c660zm60w3nyw6,0,0,39107432,117322298,0,0
terra1060tjpwqh4tc83frkz35q08mufwdufyrv5pgdu,0,0,519235,1557705,0,0
terra1062nq2lu0h5e0myw0eyg9q7d09chspksldn720,0,0,10732854,32198562,0,0
terra1062wg0fdjz9rj83zn95tt275spfrjlq0m8pdtq,0,0,707340,2122021,0,0
terra1063k5pa0a286zvkjqttvhyuv4rgpanragt8v3s,0,0,5529205,16587615,0,0
terra1064p7jxrj3cydlayyz82pmp83yrwq4nuur8pxu,0,0,4692011,14076033,0,0
terra1065gzmedq0fpxuelr84n2kaq7z4qqm3dpu4hc8,0,0,21175754,63527263,0,0
terra1065ve852m84zpfrj680d0egagqz64hzljtgx87,0,0,81879051,245637153,0,0
terra10673ghdxc0869md59wjyjhtvd2glqvemdxalgl,0,0,3001417,9004252,0,0
terra10675xlrjk0qv0c76jnr60wcyvp38572l3tct7m,0,0,1590351,4771055,0,0
terra10683sccpz2qx4wnh84wng8hytdvd7pn4jqel46,0,0,518771,1556313,0,0
terra1069lg9c9avasdsa5hpx8hh4dk6mxwyjmlg4j6s,0,0,25713286,77139859,0,0
terra1069upaxg5sujxpgahf9hhm808mfjheumq2c29v,0,0,823918,2471755,0,0
terra1069w7xztdqgpmg7534afvwhqp8we9autsrthel,0,0,6029638,18088916,0,0
terra1069w8skyttkn695ar7vfasgaap7pmx8k6kdpt4,0,0,716063,2148190,0,0
terra106a7gw3xtvexkphj6nll39ekm05v77zqkcldrq,0,0,20030649,60091947,0,0
terra106c0c4d5ca6wzs4cellhdrss0u5mlxd3lgz9g5,0,0,12183927,36551783,0,0
terra106c27g9gnnnqrvuz35mnhm302l8sfc8f6ps9ky,0,0,31419549,94258648,0,0
