address,amount0,amount1,amount2,amount3,amount4
terra1y0a3gmca63nqper09fkmhn50385vpea2wugtda,2785374891,1624802020,4874406060,0,0
terra1rm2dhk95w40p6l0w0smnrkwq8tngu8x9ad3nca,2744264464,1600820937,4802462812,0,0
terra1qmwx28lk5s9hu9s0u68at6te0utq3azrw3s676,2743109983,1600147490,4800442471,0,0
terra14rucnll8q68uzt3ymj4hw4ugcpsdq0ykt8lvk0,2742178642,1599604208,4798812624,0,0
terra1rsy4eykyv6cxsrjeqh0s3kswayr2us4uetclh6,2741903291,1599443586,4798330760,0,0
terra10u05dcp6q3f0uqv3msf39yz7l3fhtk5fwnhkzw,2741623059,1599280117,4797840353,0,0
terra1ravau9c0akkzdg25qq5ckuz62yh3zuz8qczjms,2741568214,1599248125,4797744375,0,0
terra1eyuy5vsz0fz8xt3ng4ds8r4gd8kgak4hcwv0k0,2741568214,1599248125,4797744375,0,0
terra1rc0a856tdk5qwa349grh0ey9rn8rv4j8ntvrug,2741568214,1599248125,4797744375,0,0
terra14wc66csj0x4rg65qcsuf4qw2x69klmazm92e23,2741568214,1599248125,4797744375,0,0
terra15qqptar6299y56prlgg72f95q2qt9vr3s5vu68,2741565738,1599246680,4797740042,0,0
terra1patvgzjkq63q6mtdk4y0nsq4r93m770r79yf2d,2741561992,1599244495,4797733486,0,0
terra163z6npkjtuk7xf6jhm5ztdrwa4tgve94gxpqt3,2741561992,1599244495,4797733486,0,0
terra1y4fcguzaqux9f9jmjzujrvc4ezt42e4llfhpjn,2741561954,1599244473,4797733420,0,0
terra1yjag2f23pv0mylzjkzh5qysxavvssj3qj9afwq,2741547241,1599235890,4797707672,0,0
terra1h4mzx9azmd3ysd80q0fvmm0m9d09wp8gpwfpez,2741518165,1599218929,4797656789,0,0
terra1szv45efyk0svp5et2gzn6lw7jj88lzvfcvj7u4,2741504708,1599211080,4797633240,0,0
terra1nuxa04srpwlyvfff545kasnww5cw6lg8s9rw29,2741494040,1599204857,4797614571,0,0
terra1ezyh02ehmma2g37zlvhymlm5mnw3w5yw7vklaf,2741426870,1599165674,4797497023,0,0
terra1kyxluv4fezrsdmas32074yt5lfln3s2jef8rm0,2740981816,1598906059,4796718179,0,0
terra1gdtsmjs3cjpr044e0d83mkcl8g4vdqje25ucrd,2735899544,1595941400,4787824202,0,0
terra1pqqvn868dywcxa4yfwm0mgtfsvmyh8gnlggy4h,2735070982,1595458073,4786374219,0,0
terra13m4eamy9shskqve85kr4v69vqxv9vnw6v6788x,2707295807,1579255887,4737767663,0,0
terra1u7spay7wx9nfpf4wx8mu3uqnzhuckf0d9gwvdv,2693631404,1571284986,4713854958,0,0
terra1eqtgyy9ypywtyttf8jeknu3akhk7q2pxktul3y,876490,511285,6668223200,2222229781,0
terra1tz9gyy75ucws9fqfx282h3syvvy43lflg686qg,2659869444,1551590509,4654771527,0,0
terra1k7hcerv45y2jgx4wwnj29mqfwgf7x9fjrpwse6,49176,28686,6633836211,2211250051,0
terra194w928kz6aayt7vtq0tds9l47x7phlq4a6q085,2644490657,1542619550,4627858650,0,0
terra1eaa6lm6tqjup3z0ahyy5k54jwyfa7wd3p2qu6v,1215083434,708798669,5685992434,1186532141,0
terra136up8md337t9tfjhuqrtv7mut90sfdqpgqxvcd,2610994499,1523080124,4569240373,0,0
terra1rzau69p87tqeycurat4h7dv2qyh5lrn88u6mc9,2576054223,1502698296,4508094890,0,0
terra14pksd6k7vsf6rdk6qpg2es8dgnhmwj9wlnltce,2573207350,1501037621,4503112863,0,0
terra19x45fmcfmrnhe35r38xwtutft248ylj8p9mh5j,0,0,6384983530,2128327843,0
terra1kwztthcj56ync3vuuw9xa9r64w6l7t5klv4ky9,1804387909,1052559613,4964027600,602116253,0
terra1kdm950zkqf7nce7aywp65ratfwn39h6phv36mu,2450780012,1429621673,4288865021,0,0
terra18zhcpt2lk7l6u8dm332yz6zzpvagyfevescjj7,2428983518,1416907052,4250721157,0,0
terra1rf58rw0cnzz3f74g94l5jy0mcv9nsekjk40lkh,2427710925,1416164706,4248494118,0,0
terra13p52xlw7jxhlc3tmt367re7ru7m47glc5sep5l,137964230,80479134,5959210893,1905924496,0
terra1a97wymp68q5zem6cwll5lkdkw6aendahxc4arw,2424204941,1414119549,4242358647,0,0
terra1h0qj7wjrvrc6sv6gxc4tlx0mmrvu2u5502ga2s,2392218539,1395460814,4186382443,0,0
terra17v90jelp7g52j4m528q5fqj8aufjhqx0nztl0x,2384553225,1390989381,4172968145,0,0
terra1sm0p7gug459al3lwxdk0remmhlrmr464jxsq3d,691225988,403215160,5438211656,1409522058,0
terra1pvmlme62yq55txkexzx62cxa389282h53dt2wm,2372524288,1383972501,4151917505,0,0
terra1g0gwmfsa5nvgetdhxq0duykfdzevsgd0ulg942,699718525,408169139,5292826906,1356106495,0
terra1cusfnu70dmr0kurlfxjtrua4ye9c9uf8zp32ye,2300817728,1342143674,4026431024,0,0
terra10fsemwd03cze90xxqtlsge8v900z5tcwc3gj2c,2298740615,1340932025,4022796076,0,0
terra14047v5xmjgvkjzdhf6l2w2c44tcvyszpldv57z,2228041092,1299690637,3899071911,0,0
terra1ms8346jet8c2svhzgevxerd7pc8l9jaank0lgx,2217542280,1293566330,3880698990,0,0
terra1svjg80wqq5d04mrl9xnjhfj70hmrjrud85ch7y,588442,343258,5536909549,1845293258,0
terra1qn93rzsnfh0dwdkxmf8q6dtjr0uxv33klhlc5u,2207889134,1287935328,3863805985,0,0
